运行ID,目标1_Makespan,目标2_Energy
1,44.0,4846.0
1,45.0,4794.0
1,46.0,4742.0
1,47.0,4719.0
2,46.0,4858.0
2,47.0,4806.0
2,48.0,4754.0
3,44.0,4846.0
3,45.0,4794.0
3,46.0,4742.0
3,47.0,4719.0
4,44.0,4817.0
4,45.0,4765.0
4,46.0,4713.0
5,44.0,4846.0
5,45.0,4794.0
5,46.0,4742.0
5,48.0,4725.0
6,44.0,4817.0
6,45.0,4765.0
6,46.0,4713.0
7,44.0,4846.0
7,45.0,4794.0
7,46.0,4742.0
7,48.0,4725.0
8,44.0,4817.0
8,45.0,4765.0
8,46.0,4713.0
9,43.0,4898.0
9,44.0,4846.0
9,45.0,4765.0
9,46.0,4713.0
10,43.0,4869.0
10,44.0,4817.0
10,45.0,4765.0
10,46.0,4713.0
